Id,Title,Description,ProductItemId
39,3 Year Guarantee ,3 Year Guarantee ,20
40,Telescoping rod,"Telescoping double rod has a 3/4-inch diameter front rod and 5/8-inch diameter back rod, and is available in 3 sizes to accommodate most windows ",21
41,Easy setup,Your Twilight double curtain rod comes with everything you need to get set up quickly and doesn't require a curtain rod bracket,21
42,Brushed steel,Brushed Stainless Steel Door Knob Handle Passage Entrance Privacy Thumb Lock ,22
43,Woodgrain effect ,Woodgrain effect ,23
44,Primed finish-ready,Primed finish-ready to paint,23
45,Real wood,Natural real wood venetian blinds ,24
46,Metal brackets,"Metal brackets that can be top, side or face fixed ",24
47,9 plants size,"Up to 9 plants can be grown at a time. Plants grow in water, not soil. Advanced hydroponics made simple, Enjoy plants all year round. Grow fresh herbs, vegetables, salad leaves, flowers and more in this smart indoor garden ",25
48,Wood material,Wood material,26
49,Galvanised steel ,Durable galvanised steel ,27
50,85L capacity,Capacity: 85 Litres / 120 Kgs ,28
51,Tissue holder ,Tissue holder ,29
52,Stainless fork,Stainless Steel Weed Fork with 40-Inch Handle ,30
53,22cm high,Stands approx. 22cm high ,31
54,Tree pack,Christmas tree pack,31
55,6 feet tall,"6 feet tall Christmas Tree in plain green with 1000 tips, pvc material is suitable for both outdoor and indoor using. ",32
56,Foldable base,"Designed with a durable metal body to use season after season, plus a foldable base for easy assembly. ",32
57,Material,Green plastic,33
58,9 feet tall,9 feet tall Christmas tree,34
59,Natural pine,Our natural wood slices are made of natural pine wood with barks and clearly visible wood grain.,35
60,High-quality,"Our wood slices were drying, slicing, and picking out high-quality wood chips",35
61,Dining table,A solid oak rectangular dining table in a durable oiled finish ,36
62,Dimensions,Dimensions (D x W x H): 118 x 75 x 75 cm ,36
63,Folding foot,"Folding foot, Piezo ignition, wind shield ",37
64,Double ceramic coating,"Double ceramic coating, aluminium cookware set ",38
65,Stylish machine,Stylish bean-to-cup espresso/cappuccino machine with professional 15-bar pump pressure,39
66,Ventilation mode,Recirculation inside your kitchen with the use of carbon filters.,40
67,Small commode,"Upholstered commode chair is small, easier to move around the patient's room, at home or in clinical setting.",41
68,Easy setup,"Provided with detailed instructions, the cubes are easy to assemble; and can be installed on the wall seamlessly with the screws and cloaking metal plates ",42
69,Large bay size,1500mm High x 700mm Wide x 300mm Deep and capable of holding 180kg per shelf ,43
70,Modern design,Wood-patterned closed doors and walls,44
71,High carbon steel blade,High carbon steel blade for use in hard-to-reach areas ,45
72,Tylon blade coating,Tylon blade coating gives durability and wear resistance than lacquer,46
73,Vibration absorbing handle ,Vibration absorbing handle ,47
74,Forged black,Forged black painted head ,48
75,Polished faces,Hardened and tempered with polished faces and hardwood shaft ,48
76,Chrome vanadium steel ,Manufactured from chrome vanadium steel ,49
77,Hardened and tempered ,Carbon steel hardened and tempered ,50
